provinsi,kabupaten,nik,nama,ttl,gender,goldar,alamat,rtrw,kelurahan,kecamatan,agama,perkawinan,pekerjaan,kewarganegaraan,berlaku,sign_place,sign_date
PROVINSI DAERAH ISTIMEWA YOGYAKARTA,KABUPATEN BANTUL,3402102401826111,EDIANTO PRASETYO,"BANTUL, 24-01-1982",PEREMPUAN,A,JL PD KELAPA RUKO PONDOK KELAPA BL A/2,004/029,GIRIREJO,IMOGIRI,ISLAM,CERAI HIDUP,WIRASWASTA,WNI,SEUMUR HIDUP,BANTUL,27-02-2016
PROVINSI ACEH,KABUPATEN ACEH TAMIANG,1116022506626840,EFFENDY HUSIN,"ACEH TAMIANG, 25-06-1962",LAKI-LAKI,A,JL RAYA PASAR MINGGU,008/025,UPAH,BENDAHARA,ISLAM,CERAI HIDUP,WIRASWASTA,WNI,SEUMUR HIDUP,ACEH TAMIANG,26-09-2019
PROVINSI NUSA TENGGARA TIMUR,KABUPATEN SUMBA TIMUR,5311122905574219,HILDA NOVEDA KALIMAN,"PABERIWAI, 29-05-1957",PEREMPUAN,B,JL SUKAMULYA RAYA 18,016/020,KANANGGAR,PABERIWAI,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,SUMBA TIMUR,01-02-2015
PROVINSI KALIMANTAN TENGAH,KABUPATEN KOTAWARINGIN TIMUR,6202090702778923,XU PENG,"PULAU HANAUT, 07-02-1977",LAKI-LAKI,B,"JL KH. ABDULLAH SYAFEI NO. 7 CASSABLANCA, TEBET",002/005,BAPINANG HULU,PULAU HANAUT,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,KOTAWARINGIN TIMUR,05-04-2013
PROVINSI LAMPUNG,KABUPATEN TANGGAMUS,1806131410759139,JOYNER IVANKA,"TANGGAMUS, 14-10-1975",LAKI-LAKI,A,JL RAYA MERUYA ILIR RUKO TAMAN KEBON JERUK BL A-9/4-5,013/020,ARGOPENI,SUMBER REJO,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,TANGGAMUS,04-04-2012
PROVINSI PAPUA BARAT,KABUPATEN MAYBRAT,9210221809675028,BOBBY IMAN SATRIO,"AITINYO TENGAH, 18-09-1967",LAKI-LAKI,A,JL.GN.SAHARI XI,004/006,EWAY,AITINYO TENGAH,ISLAM,CERAI MATI,WIRASWASTA,WNI,SEUMUR HIDUP,MAYBRAT,01-04-2010
PROVINSI LAMPUNG,KOTA BANDAR LAMPUNG,1871111105030053,EIFFEL TEDJA,"BANDAR LAMPUNG, 11-05-2003",PEREMPUAN,B,JL JEND GATOT SUBROTO KAV 12,017/007,PEMATANG WANGI,TANJUNG SENANG,ISLAM,CERAI HIDUP,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,KOTA BANDAR LAMPUNG,30-08-2010
PROVINSI SULAWESI SELATAN,KABUPATEN ENREKANG,7316030405991249,FIONA ADELINE SUTANTO,"BARAKA, 04-05-1999",LAKI-LAKI,AB,JL TJ DUREN UTR BL 3-A/330,002/030,TOMENAWA,BARAKA,ISLAM,BELUM KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,ENREKANG,08-02-2016
PROVINSI SUMATERA UTARA,KABUPATEN DELI SERDANG,1207031111604574,RATNA INDIRA,"SIBOLANGIT, 11-11-1960",LAKI-LAKI,B,JL PAMULANG BRT 24-O,023/025,DURIN SERUGUN,SIBOLANGIT,ISLAM,KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,DELI SERDANG,13-09-2020
PROVINSI PAPUA BARAT,KABUPATEN MAYBRAT,9210091012588766,LUKMAN HAKIN,"MAYBRAT, 10-12-1958",PEREMPUAN,B,JL. KELAPA SAWIT RAYA NO. 28 UTAN KAYU SELATAN MATRAMAN,012/020,ARNE,AYAMARU UTARA,ISLAM,CERAI MATI,SOPIR,WNI,SEUMUR HIDUP,MAYBRAT,16-02-2020
PROVINSI KALIMANTAN BARAT,KABUPATEN SAMBAS,6101102910951772,RONALD WIJAYA,"SUBAH, 29-10-1995",LAKI-LAKI,B,JL KB KACANG RAYA FLAT I/1,014/020,SUNGAI DEDEN,SUBAH,ISLAM,KAWIN,PEWAGAI NEGERI SIPIL,WNI,SEUMUR HIDUP,SAMBAS,13-10-2015
PROVINSI LAMPUNG,KABUPATEN PRINGSEWU,1810051111028017,CLARENCE LEONARD STRATTON,"PRINGSEWU, 11-11-2002",LAKI-LAKI,B,JL CIKINI RAYA 70,011/012,BUMI REJO,PAGELARAN,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,PRINGSEWU,29-10-2020
PROVINSI SUMATERA SELATAN,KOTA LUBUK LINGGAU,1673060212942842,RAZIF SUSANTO,"LUBUK LINGGAU, 02-12-1994",PEREMPUAN,-,JL LANGSAT I 3-PAV,027/030,ULAK LEBAR,LUBUK LINGGAU BARAT II,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,KOTA LUBUK LINGGAU,23-05-2010
PROVINSI JAWA BARAT,KABUPATEN CIANJUR,3203220606616141,HANDY SUNARDIO,"CIANJUR, 06-06-1961",PEREMPUAN,O,GG BELIMBING 12,028/007,BUNISARI,AGRABINTA,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,CIANJUR,30-05-2016
PROVINSI JAWA BARAT,KABUPATEN CIAMIS,3207300503705185,SIERAH LANDAJANI SOETEMO,"CISAGA, 05-03-1970",PEREMPUAN,O,"JL. M. KAHFI 1 NO. 999, KP. KANDANG CIGANJUR",003/006,BANGUNHARJA,CISAGA,ISLAM,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,CIAMIS,23-04-2018
PROVINSI JAWA TIMUR,KABUPATEN MALANG,3507150212646930,JEFFREY IUWENA,"TAJINAN, 02-12-1964",PEREMPUAN,B,JL KELAPA DUA 16,028/020,NGAWONGGO,TAJINAN,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,MALANG,26-03-2017
PROVINSI JAWA TIMUR,KABUPATEN MOJOKERTO,3516081602978091,KINDARTO KOHAR,"MOJOKERTO, 16-02-1997",PEREMPUAN,B,JL GELONG BARU 35,022/024,MODOPURO,MOJOSARI,ISLAM,KAWIN,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,MOJOKERTO,04-08-2015
PROVINSI KALIMANTAN BARAT,KABUPATEN KETAPANG,6104011402601224,SETIAWAN LUKMAN,"MATAN HILIR UTARA, 14-02-1960",PEREMPUAN,B,JL ALAYDRUS 23,021/006,KUALA TOLAK,MATAN HILIR UTARA,ISLAM,BELUM KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,KETAPANG,04-10-2016
PROVINSI ACEH,KABUPATEN ACEH UTARA,1108142011939402,SEFRIE RORING,"ACEH UTARA, 20-11-1993",PEREMPUAN,O,JL KALIBATA TMR I 36 A,024/027,BUKET JRAT MANYANG,T. JAMBO AYE,KRISTEN,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,ACEH UTARA,27-12-2013
PROVINSI JAWA TENGAH,KABUPATEN GROBOGAN,3315151502669045,YOGIE SANDI YUDHIANTO,"KLAMBU, 15-02-1966",PEREMPUAN,O,JL PRAJA DLM E-13,018/014,PENGANTEN,KLAMBU,ISLAM,KAWIN,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,GROBOGAN,26-02-2015
PROVINSI JAWA TENGAH,KABUPATEN KENDAL,3324060612890070,FARINA TADJOEDIN,"LIMBANGAN, 06-12-1989",PEREMPUAN,AB,JL KAJI 22 E,004/008,MARGOSARI,LIMBANGAN,ISLAM,CERAI HIDUP,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,KENDAL,16-02-2018
PROVINSI JAWA TENGAH,KABUPATEN SUKOHARJO,3311072602601334,ERNITHA HALIM,"POLOKARTO, 26-02-1960",PEREMPUAN,A,JL RAYA PASAR MINGGU KM 18,023/022,KARANGWUNI,POLOKARTO,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,SUKOHARJO,23-11-2011
PROVINSI SUMATERA UTARA,KOTA TANJUNG BALAI,1274042101764727,TANAKA KIYOMI,"TANJUNG BALAI, 21-01-1976",LAKI-LAKI,B,GG BELIMBING 12,012/025,KAPIAS PULAU BUAYA,TELUK NIBUNG,ISLAM,KAWIN,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,KOTA TANJUNG BALAI,25-01-2019
PROVINSI JAWA TIMUR,KABUPATEN MOJOKERTO,3516160408835556,DEWI GARLINA SARI,"MOJOKERTO, 04-08-1983",PEREMPUAN,AB,JL HEDAM I 37,020/026,LAKARDOWO,JETIS,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,MOJOKERTO,19-06-2017
PROVINSI PAPUA BARAT,KABUPATEN PEGUNUNGAN ARFAK,9212103009603839,MICHEAL TJAHJADI,"PEGUNUNGAN ARFAK, 30-09-1960",LAKI-LAKI,O,JL ARJUNA SLT 168,020/017,MINYEIMEMUD,HINGK,ISLAM,KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,PEGUNUNGAN ARFAK,28-11-2019
PROVINSI LAMPUNG,KABUPATEN LAMPUNG BARAT,1804112702812560,ACHMAD SANDI,"LAMPUNG BARAT, 27-02-1981",LAKI-LAKI,O,JL RAYA MERUYA ILIR RUKO TAMAN KEBON JERUK BL A-9,022/003,SUKA MULYA,SUKAU,ISLAM,CERAI MATI,PEWAGAI NEGERI SIPIL,WNI,SEUMUR HIDUP,LAMPUNG BARAT,14-02-2011
PROVINSI PAPUA BARAT,KABUPATEN MANOKWARI,9202052909867650,ROSELYNE YOSAWIRIA,"MASNI, 29-09-1986",PEREMPUAN,A,JL KB KACANG RAYA FLAT I/1,016/030,BOWI SUBUR,MASNI,ISLAM,KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,MANOKWARI,18-02-2012
PROVINSI RIAU,KABUPATEN ROKAN HULU,1406061912964578,SUHARMAN SUBIANTO,"KUNTO DARUSSALAM, 19-12-1996",PEREMPUAN,B,JL CIKINI RAYA 70,001/004,BUKIT INTAN MAKMUR,KUNTO DARUSSALAM,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,ROKAN HULU,12-07-2017
PROVINSI P A P U A,KABUPATEN KEEROM,9111032303980173,EDY KOSASIH,"SENGGI, 23-03-1998",PEREMPUAN,O,JL TARUNG SATU NO 2,004/010,NAMLA,SENGGI,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,KEEROM,19-07-2016
PROVINSI SULAWESI TENGAH,KABUPATEN MOROWALI,7206061801660516,JEFFREY KOES WONSONO,"MOROWALI, 18-01-1966",PEREMPUAN,O,JL KRAMAT KWITANG I A-14,001/027,UMBELE,BUNGKU SELATAN,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,MOROWALI,20-08-2012
PROVINSI KEPULAUAN RIAU,KABUPATEN NATUNA,2103090109862902,ROGER PINDER,"SUBI, 01-09-1986",PEREMPUAN,A,JL CIPINANG CEMPEDAK,013/009,PULAU PANJANG,SUBI,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,NATUNA,10-09-2018
PROVINSI PAPUA BARAT,KABUPATEN FAK FAK,9203021803970648,BUDI SURJANA,"FAK-FAK BARAT, 18-03-1997",LAKI-LAKI,AB,JL JATIMAKMUR,023/012,PURWASAK,FAK-FAK BARAT,ISLAM,BELUM KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,FAK FAK,10-12-2016
PROVINSI PAPUA BARAT,KABUPATEN MANOKWARI,9202211408601969,MARIO CHRISTY,"MANOKWARI, 14-08-1960",PEREMPUAN,O,JL LETJEN TB SIMATUPANG 31,010/009,SARAY,SIDEY,ISLAM,BELUM KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,MANOKWARI,24-03-2011
PROVINSI JAWA TENGAH,KABUPATEN REMBANG,3317140509713390,HENRY KURLI AND LIN KONGGUI,"LASEM, 05-09-1971",PEREMPUAN,AB,KP DURI BARAT NO 09,004/002,GEDONGMULYO,LASEM,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,REMBANG,20-02-2013
PROVINSI JAWA TIMUR,KABUPATEN MALANG,3507161606842309,FABIAN GELAEL,"TUMPANG, 16-06-1984",PEREMPUAN,B,JL TJ DUREN BRT V 2,027/001,NGINGIT,TUMPANG,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,MALANG,18-08-2012
PROVINSI JAWA TENGAH,KABUPATEN BANYUMAS,3302020110722615,RANDY HIRAWAN,"BANYUMAS, 01-10-1972",PEREMPUAN,B,JL PUSKESMAS 22,030/015,WLAHAR,WANGON,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,BANYUMAS,21-11-2013
PROVINSI JAWA TENGAH,KABUPATEN PURBALINGGA,3303162712633123,SRI SETYANINGSIH ELISABETH,"PURBALINGGA, 27-12-1963",LAKI-LAKI,B,JL AIPDA KS TUBUN,010/001,PASUNGGINGAN,PENGADEGAN,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,PURBALINGGA,18-06-2020
PROVINSI JAWA TIMUR,KABUPATEN BOJONEGORO,3522132110757987,SUWANDI WIDJAJA,"BOJONEGORO, 21-10-1975",PEREMPUAN,A,JL GN SAHARI RAYA 18 MASPION,019/015,BULU,BALEN,HINDU,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,BOJONEGORO,25-03-2013
PROVINSI JAWA BARAT,KABUPATEN GARUT,3205231304884462,JUNITA CIPUTRA,"GARUT, 13-04-1988",PEREMPUAN,B,JL KALIPASIR 4,023/018,MULYAJAYA,BANJARWANGI,KRISTEN,KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,GARUT,26-09-2013
PROVINSI NUSA TENGGARA BARAT,KABUPATEN LOMBOK TIMUR,5203190603811201,SURIPTO,"LOMBOK TIMUR, 06-03-1981",LAKI-LAKI,B,JL MANGGA DUA RAYA HOTEL DUSIT MANGGA DUA,002/017,RENSING BAT,SAKRA BARAT,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,LOMBOK TIMUR,29-10-2015
PROVINSI SULAWESI TENGGARA,KABUPATEN KOLAKA UTARA,7408090908833938,NOVIANI EKA SUSANTO,"KOLAKA UTARA, 09-08-1983",LAKI-LAKI,O,JL RAYA PAMULANG KOMPL GRIYA,022/011,SARONA,WATUNOHU,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,KOLAKA UTARA,04-04-2020
PROVINSI ACEH,KABUPATEN ACEH BARAT,1105110503616520,STEPHEN CHARLES DODGSON,"WOYLA TIMUR, 05-03-1961",LAKI-LAKI,O,JL KELAPA DUA RAYA 28,027/027,ALUE KUYUN,WOYLA TIMUR,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,ACEH BARAT,20-10-2019
PROVINSI P A P U A,KABUPATEN ASMAT,9118050608905186,JOHANNES HALIM,"FAYIT, 06-08-1990",LAKI-LAKI,A,JL CEGER RAYA 42 A,014/005,KAYARPIS,FAYIT,ISLAM,BELUM KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,ASMAT,20-02-2020
PROVINSI SULAWESI SELATAN,KOTA MAKASSAR,7371021804855199,KWEE SUO CHIE,"MAKASSAR, 18-04-1985",PEREMPUAN,O,JL JEND SUDIRMAN,004/007,SAMBUNG JAWA,MAMAJANG,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,KOTA MAKASSAR,15-01-2014
PROVINSI JAWA TENGAH,KABUPATEN PURBALINGGA,3303042501922102,JYOTI LEKHRAJ BUDHRANI,"KALIGONDANG, 25-01-1992",LAKI-LAKI,B,JL P DIPONEGORO 25,004/028,SEMPOR LOR,KALIGONDANG,ISLAM,BELUM KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,PURBALINGGA,08-04-2014
PROVINSI BANTEN,KOTA SERANG,3673012110585984,JUSUF HABIBIE,"SERANG, 21-10-1958",PEREMPUAN,AB,JL RAWA TENGAH,008/014,KAGUNGAN,SERANG,ISLAM,CERAI HIDUP,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,KOTA SERANG,28-05-2011
PROVINSI JAWA TENGAH,KABUPATEN MAGELANG,3308201812014869,MAGGIE ISMAIL,"MAGELANG, 18-12-2001",LAKI-LAKI,O,JL KRAMAT KWITANG I A-14,019/024,NGABEAN,SECANG,ISLAM,CERAI MATI,WIRASWASTA,WNI,SEUMUR HIDUP,MAGELANG,15-06-2013
PROVINSI JAWA TIMUR,KOTA SURABAYA,3578212608800095,VERONICA DEVI INTAN,"DUKUH PAKIS, 26-08-1980",PEREMPUAN,O,JL KELAPA HYBRIDA RAYA KOMPL KELAPA GADING,026/019,PRADAH KALI KENDAL,DUKUH PAKIS,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,KOTA SURABAYA,13-05-2020
PROVINSI MALUKU UTARA,KABUPATEN HALMAHERA SELATAN,8204120202854566,DARJOTO SINOPATI,"HALMAHERA SELATAN, 02-02-1985",LAKI-LAKI,O,JL PROF DR SOEPOMO SH 44,006/016,LALUIN,KAYOA SELATAN,ISLAM,BELUM KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,HALMAHERA SELATAN,01-12-2014
PROVINSI SULAWESI SELATAN,KABUPATEN BONE,7308202112039118,MILANY TERIANTO LUWENA,"BONE, 21-12-2003",PEREMPUAN,A,JERUK PURUT KEMANG,006/010,LABONGE,CENRANA,ISLAM,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,BONE,09-06-2020
PROVINSI RIAU,KABUPATEN INDRAGIRI HULU,1402041406782407,SGFRIED RINALDY,"PASIR PENYU, 14-06-1978",PEREMPUAN,B,JL KALIPASIR,021/002,BATU GAJAH,PASIR PENYU,KRISTEN,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,INDRAGIRI HULU,08-06-2020
PROVINSI KALIMANTAN BARAT,KABUPATEN LANDAK,6108021109026606,ELMURSIL MOENZIR,"MEMPAWAH HULU, 11-09-2002",PEREMPUAN,B,JL JAMPEA LR 20,025/008,SALUMANG,MEMPAWAH HULU,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,LANDAK,23-01-2016
PROVINSI KALIMANTAN SELATAN,KABUPATEN KOTABARU,6302202602731829,LUCIA MOGI,"PULAULAUT KEPULAUAN, 26-02-1973",PEREMPUAN,O,JL ARTERI KEDOYA 16,001/003,TELUK ARU,PULAULAUT KEPULAUAN,ISLAM,BELUM KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,KOTABARU,13-04-2015
PROVINSI P A P U A,KABUPATEN YALIMO,9122023007781351,KUSUMA HADI SOETEMO,"YALIMO, 30-07-1978",LAKI-LAKI,O,JL TIRTAYASA RAYA 28,001/006,MAKRIG,APALAPSILI,ISLAM,BELUM KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,YALIMO,26-01-2016
PROVINSI JAWA BARAT,KOTA BANDUNG,3273262402659016,I. GOESTI BEN KEL BAGOES OKA,"UJUNGBERUNG, 24-02-1965",PEREMPUAN,O,JL MERUYA ILIR RAYA 20 A,021/013,PASIRWANGI,UJUNGBERUNG,ISLAM,BELUM KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,KOTA BANDUNG,02-05-2015
PROVINSI SULAWESI BARAT,KABUPATEN MAJENE,7605021307818626,MIANA DWILASMINI SUDWIKATMONO,"MAJENE, 13-07-1981",PEREMPUAN,B,JL HEDAM,001/028,BONDE UTARA,PAMBOANG,ISLAM,KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,MAJENE,16-10-2016
PROVINSI SUMATERA BARAT,KABUPATEN PESISIR SELATAN,1301061101910259,SONG LIANG HUA,"PESISIR SELATAN, 11-01-1991",PEREMPUAN,O,JL TEBET DLM II H/5,026/024,SAWAH LAWEH PASAR BARU,BAYANG,ISLAM,BELUM KAWIN,TUKANG BATU,WNI,SEUMUR HIDUP,PESISIR SELATAN,19-01-2019
PROVINSI SUMATERA SELATAN,KABUPATEN LAHAT,1604162310582592,ROBBY RHEMREV,"LAHAT, 23-10-1958",LAKI-LAKI,O,JL PD BAMBU ASRI UTR I 4,010/023,KEBAN AGUNG,KIKIM SELATAN,ISLAM,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,LAHAT,22-08-2019
PROVINSI PAPUA BARAT,KABUPATEN SORONG SELATAN,9204222009035705,AHMAD PRABHU,"SAIFI, 20-09-2003",PEREMPUAN,A,JL CEGER RAYA 42 A,002/001,BOTAIN,SAIFI,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,SORONG SELATAN,12-12-2012
PROVINSI JAWA TIMUR,KABUPATEN LAMONGAN,3524071808719024,SUSAN LO,"LAMONGAN, 18-08-1971",PEREMPUAN,AB,JL BEKASI RAYA KM 25 GED SRIKANDI,013/020,SIDOMUKTI,BRONDONG,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,LAMONGAN,17-06-2019
PROVINSI SULAWESI TENGGARA,KABUPATEN KONAWE SELATAN,7405150712018020,BARLIANTO RONALD,"MOWILA, 07-12-2001",PEREMPUAN,O,JL PROF DR SATRIO MAL AMBASADOR 2,008/015,WANUAKONGGA,MOWILA,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,KONAWE SELATAN,03-12-2012
PROVINSI JAWA TENGAH,KABUPATEN BREBES,3329061303642971,AJI WIJAYA,"BREBES, 13-03-1964",PEREMPUAN,AB,JL APRON RUSUN APRON BL B-3,018/011,NEGARAYU,TONJONG,ISLAM,CERAI MATI,WIRASWASTA,WNI,SEUMUR HIDUP,BREBES,22-08-2019
PROVINSI KALIMANTAN BARAT,KABUPATEN SINTANG,6105010604583968,ELIANI JOHAN,"SINTANG, 06-04-1958",LAKI-LAKI,AB,PERUM PURI BATA 1,022/006,TELUK KELANSAM,SINTANG,ISLAM,BELUM KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,SINTANG,09-11-2011
PROVINSI SULAWESI SELATAN,KABUPATEN GOWA,7306140801671288,EDY SUSANTO,"MANUJU, 08-01-1967",PEREMPUAN,O,"JL. KOLONEL SUGIONO NO.04, DUREN SAWIT",018/008,PATTALLIKANG,MANUJU,KRISTEN,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,GOWA,10-03-2012
PROVINSI JAWA TIMUR,KABUPATEN MALANG,3507332304969510,DERMAWAN,"MALANG, 23-04-1996",PEREMPUAN,B,JL PENGADEGAN TMR III,022/027,KADEMANGAN,PAGELARAN,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,MALANG,15-12-2011
PROVINSI LAMPUNG,KABUPATEN LAMPUNG SELATAN,1801042711772847,LUCIA MOGI,"NATAR, 27-11-1977",LAKI-LAKI,B,JL JAMBU 33,007/023,HADUYANG,NATAR,ISLAM,BELUM KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,LAMPUNG SELATAN,13-05-2016
PROVINSI LAMPUNG,KABUPATEN LAMPUNG UTARA,1803042808959633,MULYADI ANGGONO,"LAMPUNG UTARA, 28-08-1995",PEREMPUAN,B,JL RADAR AURI 49 RT 006/11,017/009,KARANG WARINGIN,TANJUNG RAJA,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,LAMPUNG UTARA,20-02-2012
PROVINSI SUMATERA SELATAN,KABUPATEN MUSI RAWAS,1605200608997839,JAMES PRESTON TRUESDELL,"TUAH NEGERI, 06-08-1999",PEREMPUAN,O,KOMPL TAMAN ARIES BL H-3/17-D,020/013,REMAYU,TUAH NEGERI,ISLAM,BELUM KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,MUSI RAWAS,02-06-2019
PROVINSI LAMPUNG,KABUPATEN PESAWARAN,1809100402681790,AGUS SOENONG ,"PESAWARAN, 04-02-1968",PEREMPUAN,-,JL VETERAN III 7-A,002/002,GEBANG,TELUK PANDAN,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,PESAWARAN,13-02-2017
PROVINSI JAWA TENGAH,KABUPATEN WONOGIRI,3312061305735477,ARI INDRA GAUTAMA,"NGUNTORONADI, 13-05-1973",PEREMPUAN,O,JL MENTENG RAYA 62,015/013,BULUREJO,NGUNTORONADI,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,WONOGIRI,21-09-2013
PROVINSI SULAWESI UTARA,KABUPATEN MINAHASA TENGGARA,7107051512599307,SARI WULANINGSIH,"TOMBATU, 15-12-1959",LAKI-LAKI,A,JL TEBET BRT DALAM 30,024/009,TONSAWANG SATU,TOMBATU,ISLAM,KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,MINAHASA TENGGARA,06-04-2016
PROVINSI SULAWESI TENGAH,KABUPATEN DONGGALA,7203111301693689,DIDI FERDINAND KOROMPIS,"SIRENJA, 13-01-1969",LAKI-LAKI,O,JL LANTANA IV KOMPL HARAPAN BARU REGENCY BL D-7/5,015/006,DAMPAL,SIRENJA,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,DONGGALA,27-01-2011
PROVINSI SULAWESI TENGGARA,KABUPATEN MUNA,7403162012589287,ZENTRY LESMANA,"MUNA, 20-12-1958",PEREMPUAN,O,JL GN SAHARI RAYA 18 MASPION,018/030,WAMPONIKI,KATOBU,KRISTEN,CERAI HIDUP,WIRASWASTA,WNI,SEUMUR HIDUP,MUNA,07-09-2020
PROVINSI BALI,KABUPATEN BADUNG,5103052805735399,ARMAN SUTEDJA,"KUTA SELATAN, 28-05-1973",LAKI-LAKI,A,JLN LENGKENG 2/6 BEKASI BARAT,002/030,PECATU,KUTA SELATAN,ISLAM,CERAI HIDUP,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,BADUNG,14-06-2013
PROVINSI JAWA BARAT,KABUPATEN SUKABUMI,3202361710771061,KURNIATI PHAN JUSUF,"SUKABUMI, 17-10-1977",PEREMPUAN,A,JL RADIN INTEN II 84 A,024/011,TITISAN,SUKALARANG,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,SUKABUMI,15-02-2010
PROVINSI JAWA TENGAH,KABUPATEN SUKOHARJO,3311071408699098,SANTY JENNICE LIOE,"POLOKARTO, 14-08-1969",LAKI-LAKI,B,JL TJ DUREN UTR BL 3-A/330,022/001,WONOREJO,POLOKARTO,ISLAM,BELUM KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,SUKOHARJO,05-10-2012
PROVINSI NUSA TENGGARA TIMUR,KABUPATEN MANGGARAI BARAT,5315092307722455,ARDAS DIPA,"MANGGARAI BARAT, 23-07-1972",LAKI-LAKI,B,JL TUBAGUS ANGKE RAYA KOMPL TAMAN DUTA MAS BL D-2,007/015,WAE MOSE,LEMBOR SELATAN,KRISTEN,BELUM KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,MANGGARAI BARAT,19-08-2013
